"Activity Name","Course Code","Activity Host Key","Actvity Type","Day Name","Start Time","End Time","Location Name"
"MATH1 EM1a - Tutorial(online)/21","MATH08074_SS1_SEM1","#SPLUS9BDBE0","Workshop - Online Live","Friday","12:10","13:00",""
"MATH1 EM1a - Tutorial(online)/22","MATH08074_SS1_SEM1","#SPLUS1BB295","Workshop - Online Live","Thursday","17:10","18:00",""
"MATH1 EM1a - Tutorial(online)/27","MATH08074_SS1_SEM1","#SPLUS9BDBE2","Workshop - Online Live","Friday","10:00","10:50",""
"MATH1 EM1a - Tutorial/01","MATH08074_SS1_SEM1","#SPLUS1BB277","Tutorial","Thursday","9:00","9:50","Lecture Theatre 2"
"MATH1 EM1a - Tutorial/02","MATH08074_SS1_SEM1","#SPLUS1BB267","Tutorial","Thursday","9:00","9:50","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/03","MATH08074_SS1_SEM1","#SPLUS1BB27F","Tutorial","Thursday","9:00","9:50","2.03"
"MATH1 EM1a - Tutorial/04","MATH08074_SS1_SEM1","#SPLUS1BB281","Tutorial","Thursday","10:00","10:50","2.03"
"MATH1 EM1a - Tutorial/06","MATH08074_SS1_SEM1","#SPLUS1BB279","Tutorial","Thursday","10:00","10:50","Lecture Theatre 2"
"MATH1 EM1a - Tutorial/07","MATH08074_SS1_SEM1","#SPLUS1BB27B","Tutorial","Thursday","11:10","12:00","Lecture Theatre 2"
"MATH1 EM1a - Tutorial/08","MATH08074_SS1_SEM1","#SPLUS1BB283","Tutorial","Thursday","11:10","12:00","2.03"
"MATH1 EM1a - Tutorial/09","MATH08074_SS1_SEM1","#SPLUS1BB26B","Tutorial","Thursday","11:10","12:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/10","MATH08074_SS1_SEM1","#SPLUS1BB27D","Tutorial","Thursday","12:10","13:00","Lecture Theatre 2"
"MATH1 EM1a - Tutorial/11","MATH08074_SS1_SEM1","#SPLUS1BB26D","Tutorial","Thursday","12:10","13:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/13","MATH08074_SS1_SEM1","#SPLUS1BB285","Tutorial","Thursday","12:10","13:00","2.03"
"MATH1 EM1a - Tutorial/14","MATH08074_SS1_SEM1","#SPLUS1BB26F","Tutorial","Thursday","14:10","15:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/15","MATH08074_SS1_SEM1","#SPLUS1BB287","Tutorial","Thursday","14:10","15:00","2.03"
"MATH1 EM1a - Tutorial/17","MATH08074_SS1_SEM1","#SPLUS1BB271","Tutorial","Thursday","15:10","16:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/18","MATH08074_SS1_SEM1","#SPLUS1BB289","Tutorial","Thursday","15:10","16:00","2.03"
"MATH1 EM1a - Tutorial/19","MATH08074_SS1_SEM1","#SPLUS1BB28B","Tutorial","Thursday","16:10","17:00","2.03"
"MATH1 EM1a - Tutorial/20","MATH08074_SS1_SEM1","#SPLUS1BB273","Tutorial","Thursday","16:10","17:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/23","MATH08074_SS1_SEM1","#SPLUS1BB275","Tutorial","Thursday","17:10","18:00","M2 - Teaching Studio"
"MATH1 EM1a - Tutorial/24","MATH08074_SS1_SEM1","#SPLUS1BB28D","Tutorial","Thursday","17:10","18:00","2.03"
"MATH1 EM1a - Tutorial/25","MATH08074_SS1_SEM1","#SPLUS1BB2A1","Tutorial","Friday","9:00","9:50","2.03"
