"Name","Module Host Key","Host Key","Activity Type Name","Scheduled Days","Scheduled Start Time","Scheduled End Time","Allocated Location Name","Team"
"MATH1 MNS1a - Tutorial/05","MATH08072_SS1_SEM1","#SPLUS1BB2BB","Tutorial","Friday","9:00","9:50","Lecture Theatre 2","2020-MNS-Fri-9.00"
"MATH1 MNS1a - Tutorial/06","MATH08072_SS1_SEM1","#SPLUS1BB2BD","Tutorial","Friday","10:00","10:50","Lecture Theatre 2","2020-MNS-Fri-10.00"
"MATH1 MNS1a - Tutorial/07","MATH08072_SS1_SEM1","#SPLUS1BB2BF","Tutorial","Friday","11:10","12:00","Lecture Theatre 2","2020-MNS-Fri-11.10"
"MATH1 MNS1a - Tutorial/08","MATH08072_SS1_SEM1","#SPLUS1BB2C1","Tutorial","Friday","12:10","13:00","Lecture Theatre 2","2020-MNS-Fri-12.10"
"MATH1 EM1a - Tutorial(onilne)/12","MATH08074_SS1_SEM1","#SPLUS1BB291","Workshop - Online Live","Thursday","12:10","13:00","","2020-EM-Thur-12:10"
"MATH1 EM1a - Tutorial(online)/05","MATH08074_SS1_SEM1","#SPLUS1BB28F","Workshop - Online Live","Thursday","10:00","10:50","","2020-EM-Thur-10:00"
"MATH1 EM1a - Tutorial(online)/16","MATH08074_SS1_SEM1","#SPLUS1BB293","Workshop - Online Live","Thursday","15:10","16:00","","2020-EM-Thur-15:10"
"MATH1 EM1a - Tutorial(online)/21","MATH08074_SS1_SEM1","#SPLUS9BDBE0","Workshop - Online Live","Friday","12:10","13:00","","2020-EM-Fri-12.10"
"MATH1 EM1a - Tutorial(online)/22","MATH08074_SS1_SEM1","#SPLUS1BB295","Workshop - Online Live","Thursday","17:10","18:00","","2020-EM-Thur-17:10"
"MATH1 EM1a - Tutorial(online)/27","MATH08074_SS1_SEM1","#SPLUS9BDBE2","Workshop - Online Live","Friday","10:00","10:50","","2020-EM-Fri-10.00"
"MATH1 EM1a - Tutorial/01","MATH08074_SS1_SEM1","#SPLUS1BB277","Tutorial","Thursday","9:00","9:50","Lecture Theatre 2","2020-EM-Thur-09:00"
"MATH1 EM1a - Tutorial/02","MATH08074_SS1_SEM1","#SPLUS1BB267","Tutorial","Thursday","9:00","9:50","M2 - Teaching Studio","2020-EM-Thur-09:00"
"MATH1 EM1a - Tutorial/03","MATH08074_SS1_SEM1","#SPLUS1BB27F","Tutorial","Thursday","9:00","9:50","2.03","2020-EM-Thur-09:00"
"MATH1 EM1a - Tutorial/04","MATH08074_SS1_SEM1","#SPLUS1BB281","Tutorial","Thursday","10:00","10:50","2.03","2020-EM-Thur-10:00"
"MATH1 EM1a - Tutorial/06","MATH08074_SS1_SEM1","#SPLUS1BB279","Tutorial","Thursday","10:00","10:50","Lecture Theatre 2","2020-EM-Thur-10:00"
"MATH1 EM1a - Tutorial/07","MATH08074_SS1_SEM1","#SPLUS1BB27B","Tutorial","Thursday","11:10","12:00","Lecture Theatre 2","2020-EM-Thur-11:10"
"MATH1 EM1a - Tutorial/08","MATH08074_SS1_SEM1","#SPLUS1BB283","Tutorial","Thursday","11:10","12:00","2.03","2020-EM-Thur-11:10"
"MATH1 EM1a - Tutorial/09","MATH08074_SS1_SEM1","#SPLUS1BB26B","Tutorial","Thursday","11:10","12:00","M2 - Teaching Studio","2020-EM-Thur-11:10"
"MATH1 EM1a - Tutorial/10","MATH08074_SS1_SEM1","#SPLUS1BB27D","Tutorial","Thursday","12:10","13:00","Lecture Theatre 2","2020-EM-Thur-12:10"
"MATH1 EM1a - Tutorial/11","MATH08074_SS1_SEM1","#SPLUS1BB26D","Tutorial","Thursday","12:10","13:00","M2 - Teaching Studio","2020-EM-Thur-12:10"
"MATH1 EM1a - Tutorial/13","MATH08074_SS1_SEM1","#SPLUS1BB285","Tutorial","Thursday","12:10","13:00","2.03","2020-EM-Thur-12:10"
"MATH1 EM1a - Tutorial/14","MATH08074_SS1_SEM1","#SPLUS1BB26F","Tutorial","Thursday","14:10","15:00","M2 - Teaching Studio","2020-EM-Thur-14:10"
"MATH1 EM1a - Tutorial/15","MATH08074_SS1_SEM1","#SPLUS1BB287","Tutorial","Thursday","14:10","15:00","2.03","2020-EM-Thur-14:10"
"MATH1 EM1a - Tutorial/17","MATH08074_SS1_SEM1","#SPLUS1BB271","Tutorial","Thursday","15:10","16:00","M2 - Teaching Studio","2020-EM-Thur-15:10"
"MATH1 EM1a - Tutorial/18","MATH08074_SS1_SEM1","#SPLUS1BB289","Tutorial","Thursday","15:10","16:00","2.03","2020-EM-Thur-15:10"
"MATH1 EM1a - Tutorial/19","MATH08074_SS1_SEM1","#SPLUS1BB28B","Tutorial","Thursday","16:10","17:00","2.03","2020-EM-Thur-16:10"
"MATH1 EM1a - Tutorial/20","MATH08074_SS1_SEM1","#SPLUS1BB273","Tutorial","Thursday","16:10","17:00","M2 - Teaching Studio","2020-EM-Thur-16:10"
